13:18:41.771 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@452e19ca, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@6b0d80ed, org.springframework.test.context.event.ApplicationEventsTestExecutionListener@6f8e8894, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@3cfdd820, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@928763c, org.springframework.test.context.support.DirtiesContextTestExecutionListener@e25951c, org.springframework.test.context.transaction.TransactionalTestExecutionListener@15f47664, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@471a9022, org.springframework.test.context.event.EventPublishingTestExecutionListener@dc9876b, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@2f666ebb, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@19976a65, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@a1f72f5, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@4b2c5e02, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@57a3e26a, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener@75c56eb9]
13:18:42.144 [main] INFO  c.s.s.impl.BatchDataServiceImplTest - Starting BatchDataServiceImplTest using Java 1.8.0_321 on DESKTOP-QGOJFOS with PID 30776 (started by Administrator in D:\code\excel-to-database)
13:18:42.146 [main] INFO  c.s.s.impl.BatchDataServiceImplTest - No active profile set, falling back to default profiles: default
13:18:46.740 [main] INFO  c.s.s.impl.BatchDataServiceImplTest - Started BatchDataServiceImplTest in 4.906 seconds (JVM running for 6.061)
13:18:46.989 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
13:18:49.014 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
13:18:49.186 [SpringContextShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
13:18:49.198 [SpringContextShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
15:41:32.265 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.stopping.service.ExcelFieldConfigServiceTest], using SpringBootContextLoader
15:41:32.271 [main] INFO  o.s.t.c.s.AbstractContextLoader - Could not detect default resource locations for test class [com.stopping.service.ExcelFieldConfigServiceTest]: no resource found for suffixes {-context.xml, Context.groovy}.
15:41:32.272 [main] INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.stopping.service.ExcelFieldConfigServiceTest]: ExcelFieldConfigServiceTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
